uuid,name,description
d3560689-cdd6-4b03-91a3-58b157a38c42,Cards Against Humanity: Third Expansion,"Released March 22, 2013. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""3"". "

uuid,edition,version,description,author,releaseDate,column
4f4bfeca-de1d-4016-b2e4-291b99aa6519,,v1.0,,,0,0
ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,,v1.1,,,0,1
f7d4f780-8235-48cc-9725-fc610c943192,,v1.2,,,0,2

uuid,suite,text,draw,pick,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
4d205bdc-699a-4c3d-888a-a2d67583eba9,Prompt,______: Hours of fun. Easy to use. Perfect for ______!,0,2,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
618b9170-9b1a-4aae-8b89-7f6b52a30f93,Prompt,"______. Awesome in theory, kind of a mess in practice.",0,0,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
3279d184-1db7-4b11-a63e-fcb939fe98a8,Prompt,A successful job interview begins with a firm handshake and ends with ______.,0,0,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
14351738-e7f8-4bba-a5ff-6b35ca4be63b,Prompt,"After months of practice with ______, I think I’m finally ready for ______.",0,2,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
38dad9d7-23ad-4a3e-8505-3d006462a3bb,Prompt,And what did you bring for show and tell?,0,0,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
5d0974c2-33c1-488a-9f81-0d6a77b99e8c,Prompt,"As part of his contract, Prince won’t perform without ______ in his dressing room.",0,0,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
d111a1cb-e063-4046-9178-ca4e20f5090d,Prompt,"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ______.",0,0,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
39246432-491c-4e63-8e01-e9fbe08a7c9d,Prompt,"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ______ in the workplace.",0,0,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
ffd7ed78-fc69-40dd-be19-d03fb28037b0,Prompt,During high school I never really fit in until I found ______ club.,0,0,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
5d0dbd29-c0b4-4d7f-bd97-a01df237de46,Prompt,Finally! A service that delivers ______ right to your door.,0,0,4f4bfeca-de1d-4016-b2e4-291b99aa6519,ae996be7-b3af-4c92-aa5a-6d5495bfb0f6,f7d4f780-8235-48cc-9725-fc610c943192
