Set,Cards Against Humanity: First Expansion,Special,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
,"Released November 7, 2011. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""1"". ",,,,,,,,
,,,,,,,,,
Prompt,An international tribunal has found ______ guilty of ______.,PICK 2,v1.0,v1.1,v1.2,v1.3,v1.4,,
Prompt,"And I would have gotten away with it, too, if it hadn't been for ______!",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"Awww, sick! I just saw this skater do a 720 kickflip into ______!",,,,,,,,v1.6
Prompt,"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",PICK 2,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",,,,,,,,v1.6
Prompt,Future historians will agree that ______ marked the beginning of America's decline.,,,,,,,,v1.6
Prompt,He who controls ______ controls the world.,,v1.0,,v1.2,,v1.4,,
Prompt,I learned the hard way that you can't cheer up a grieving friend with ______.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In a pinch, ______ can be a suitable substitute for ______.",PICK 2,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In his new self-produced album, Kanye West raps over the sounds of ______.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In the distant future, historians will agree that ______ marked the beginning of America's decline.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,
